"Bill of Material for "
"On 9/11/2014 at 20:21:26"

"Comment","Pattern","Quantity","Components"

"8BitShiftReg","8BitShiftRegister_PCB","2","SR1, SR2",""
"Antenna","PIN1","1","E1","Generic Antenna"
"ATmega32U4-AU","44ML_N","1","U1","8-bit AVR Microcontroller, 2.7-5.5V, 32KB Flash, 2.5KB EEPROM, 1KB SRAM, USB Controller, 44-pin TQFP, Industrial Grade (-40°C to 85°C)"
"Cap Pol1","RB7.6-15","5","C1, C2, C3, C4, C7","Polarized Capacitor (Radial)"
"Cap Semi","C1206","8","C5, C6, C8, C9, C10, C11, C12, C13","Capacitor (Semiconductor SIM Model)"
"COAX-M","MMCX2.54-V5","1","P4","RF Coaxial PCB Connector, MMCX; Thru-Hole, Vertical Mount Plug,  50 Ohm Impedance"
"DualNP-ChFET","","1","FET1",""
"HC-49S","","1","X1",""
"Header 15","HDR1X15","1","P2","Header, 15-Pin"
"Header 16","HDR1X16","1","P3","Header, 16-Pin"
"Header 3X2A","HDR2X3_CEN","1","P1","Header, 3-Pin, Dual row"
"Inductor","0402-A","3","L1, L2, L3","Inductor"
"LED_Green_1206Package","1206Package_PCB","16","LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16","Green LED"
"Micro USB Receptacle Type B","USBMicroB_PCB","1","USBMicroB1",""
"nRF24L01+","20-VFQFN","1","U2","2.4GHz RF Transceiver"
"PowerPins","PowerPins_PCB","1","Battery1",""
"PushButton","TactileSwitchPCB","1","PB1","Normally open push button."
"Regulator Diode","SOD-80","1","D1","This is jank"
"Resistor_1206Package","1206Package_PCB","20","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20","Resistor 1206"
