"Bill of Material for "
"On 9/14/2014 at 00:32:23"

"Comment","Pattern","Quantity","Components"

"8BitShiftReg","16-SOIC","2","U3, U4",""
"Antenna","PIN1","1","E1","Generic Antenna"
"ATmega32U4-AU","44ML_N","1","U1","8-bit AVR Microcontroller, 2.7-5.5V, 32KB Flash, 2.5KB EEPROM, 1KB SRAM, USB Controller, 44-pin TQFP, Industrial Grade (-40°C to 85°C)"
"Cap Semi","0402","3","C8, C9, C10","Capacitor (Semiconductor SIM Model)"
"Cap Semi","C1206","10","C1, C2, C5, C6, C7, C11, C12, C13, C14, C15","Capacitor (Semiconductor SIM Model)"
"COAX-M","MMCX2.54-V5","1","P4","RF Coaxial PCB Connector, MMCX; Thru-Hole, Vertical Mount Plug,  50 Ohm Impedance"
"DualNP-ChFET","8-SOIC","1","U5",""
"Electrolytic Capacitor","sheityCapPackage","2","C3, C4","asdf"
"HC-49S","HC-49S","2","X1, X2",""
"Header 15","HDR1X15","1","P2","Header, 15-Pin"
"Header 16","HDR1X16","1","P3","Header, 16-Pin"
"Header 3X2A","HDR2X3_CEN","1","P1","Header, 3-Pin, Dual row"
"Inductor","0402-A","3","L1, L2, L3","Inductor"
"LD1117DT33TR","DPAK","1","U6",""
"LED_Green_1206Package","1206Package_PCB","16","LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16","Green LED"
"Micro USB Receptacle Type B","USBMicroB_PCB","1","USB",""
"nRF24L01+","20-VFQFN","1","U2","2.4GHz RF Transceiver"
"PowerPins","PowerPins_PCB","1","Battery1",""
"PushButton","TactileSwitchPCB","1","SW1","Normally open push button."
"Resistor_1206Package","1206Package_PCB","20","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20","Resistor 1206"
